REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
109930,2026,06,4,35,4,12,,2,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,116
109931,2026,06,4,24,0,11,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,,18,,109
109932,2026,06,4,13,0,10,,2,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,1,11,,100
109933,2026,06,4,24,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,135
109934,2026,06,4,59,0,12,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,218
109935,2026,06,1,59,0,02,3,1,6,2,1,,,2,3,10,07,34,,,,80,80,2,80,80,0,,0,0,0,4,49,,2050,3,1,2,2,,,,,,,,,,,,,,,,,2,01,,416
109936,2026,06,1,12,0,07,,2,1,6,1,,,1,3,16,05,20,,,,300,320,1,300,320,60,1,0,80,80,,240,,3185,1,1,2,4,,,,,,,,,,,,,,,,,1,18,,146
109937,2026,06,4,13,0,12,,2,3,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,85
109938,2026,06,4,59,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,11,,324
109939,2026,06,1,35,0,06,,2,1,4,1,,,2,3,14,02,09,,,,350,350,1,350,350,0,,0,0,0,,52,,2700,3,1,2,2,,,,,,,,,,,,,,,,,1,03,3,296
109940,2026,06,3,11,0,08,,1,5,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,52,4,1,,,14,2,,1,1,1,,,1,,,1,01,,56
109941,2026,06,4,47,0,07,,1,6,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,3,11,,138
109942,2026,06,4,35,4,01,2,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,,1,18,,343
109943,2026,06,1,24,0,09,,2,2,4,1,,,2,3,19,07,33,,,,150,150,2,150,150,0,,0,0,0,5,1,,2000,3,2,1,1,,,,,,,,,,,,,,,,,1,02,,74
109944,2026,06,2,47,0,09,,2,2,4,2,,,1,3,16,05,25,2,1,1,300,0,1,550,0,,,,,,,240,,2400,1,1,3,3,,,,,,,,,,,,,,,,,1,02,,132
109945,2026,06,3,35,0,04,,1,6,2,,1,1,2,3,15,07,33,,,,,,,,,,,,,,,,21,,,,,,14,2,1,4,10,5,2,,1,1,1,1,1,1,,,1,02,,1139
109946,2026,06,1,59,0,04,,2,6,1,1,,,2,3,11,08,38,,,,350,400,1,350,400,0,,50,0,50,,22,,2500,3,1,2,3,,,,,,,,,,,,,,,,,1,18,,67
109947,2026,06,2,13,0,07,,2,2,4,1,,,2,3,11,01,02,3,1,1,400,0,1,400,0,,,,,,,138,,5529,3,1,3,3,,,,,,,,,,,,,,,,,1,03,2,117
